case_id,Ta,Twa,Tb,Ts,Tt,Tad,theta,Nu,f,delta_p,delta_T,Q_total,image_complete,failure_reason
30303,0.0385067771944978,0.2527642960924745,0.0806059543658248,1.0958391372395218,0.5546198305268616,0.7736233090037125,0.329858981236562,34.562016,0.081885,1.228268,14.642813,1315.821306781,True,
30304,0.0281492458540602,0.3312460520860578,0.0852375307721561,1.093055787067318,0.6101572848739515,0.0029173588979739,2.9451250280451085,32.585337,0.079244,1.1886609999999997,16.390573,1388.640105137,True,
30305,0.011224374510457,0.562032055071103,0.1346575687177391,0.5324275874374901,0.7844852067057866,0.964376524813353,-3.372496084877639,30.849398,0.087598,1.3139630000000002,27.265799,2186.947058706,True,
30306,0.0135724892934164,0.221829796292594,0.0871080520922362,0.7198078505956591,0.8389642550579501,0.203126550726185,-7.576760258102521,28.374232,0.087131,1.3069700000000006,19.210006,1417.179831361,True,
30307,0.0356490318506608,0.4688298174802486,0.1282454122208876,0.8568981730148582,0.9840366901309484,0.3095681843143115,-6.874174198839216,35.270185,0.104658,1.569875999999999,22.764515,2087.562483676,True,
30308,0.0226162589708371,0.2951119551343957,0.1479870609075909,0.8696573219779777,0.7545896422672956,0.1180025443305591,-4.695529491650166,39.874989,0.129205,1.9380810000000004,23.179076,2403.090001597,True,
30309,0.0452197099417517,0.3307683811017558,0.1122243304055209,0.6894245815521365,0.7121551023216216,0.1271666108309344,-9.870403947818012,35.889994,0.140733,2.1109899999999993,19.624989,1831.285922049,True,
30310,0.0176691568337315,0.5652770680272508,0.1013387394427282,0.9965836002627644,0.9461731319654928,0.7867932806152861,-2.8572872505096,32.765629,0.075437,1.1315620000000006,19.339841,1647.573365137,True,
30311,0.0006923344998027,0.2928426717533634,0.1305938684656716,1.4975110476703963,1.1112401911444645,0.3905736120148945,-1.9760712735332664,39.715542,0.083747,1.256203000000001,20.528071,2119.737048366,True,
30312,0.0440867027161533,0.490121339612785,0.1217686804377045,0.7788927035390845,0.9571485281041434,0.5204746556695956,-6.295884049102934,34.710997,0.103758,1.5563729999999998,21.994978,1985.015825631,True,
30313,0.0173393830151337,0.3003350677373589,0.1436989774278821,0.8315101037856616,0.5223221872257834,0.7350268391208316,8.349567778223982,32.904072,0.130612,1.9591790000000007,27.282185,2334.006949624,True,
30314,0.0370292607877166,0.2916434192909421,0.1292521479669399,0.5919951025579524,1.0343108014788909,0.1503385414958588,-2.04544584642024,27.498415,0.074436,1.116543,29.450112,2105.561658205,True,
30315,0.0304353278546695,0.4882189306182564,0.1118238686020281,0.6515406286025149,0.5564995753642851,0.7318048138307932,6.972448242214654,30.107134,0.103571,1.5535689999999995,23.244263,1819.5271862,True,
30316,0.0331141583649161,0.4738519312300083,0.1390481399809775,1.1706825185247096,0.7624461268899076,0.939298430158393,-0.9271405364815593,43.043513,0.1085,1.627497,20.202862,2260.965591865,True,
30317,0.0315047376092986,0.3673504838892318,0.0830800652987075,1.3054165641147533,0.8509360293913455,0.1947167591635804,-6.953086202588168,35.656999,0.095584,1.4337560000000007,14.605488,1354.048413059,True,
30318,0.0188988342858116,0.2593460322804558,0.1143536557187851,1.395793791176871,0.7335172407521681,0.3764358976930321,6.15125950353238,38.069013,0.098653,1.4797969999999996,18.776096,1858.447321588,True,
30319,0.0284099385516584,0.4265408235058922,0.0908346984420443,1.327383565380922,1.1205962678845032,0.2108864732918383,-9.50671499711824,35.094021,0.096049,1.4407320000000006,16.20483,1478.600845656,True,
30320,0.0145784673473299,0.4834252823452583,0.129752846611917,0.7214148631164079,0.6671371629919739,0.2171727637434729,4.167693993857496,31.458336,0.097156,1.4573429999999998,25.771427,2107.888185593,True,
30321,0.0254540468140433,0.5535910785013483,0.0867536663440706,0.8274340572721909,0.7014236361551679,0.9970733922292874,-2.369487378829501,32.005541,0.077748,1.1662250000000007,16.974292,1412.505680135,True,
30322,0.0363285652304176,0.5421400025039351,0.1465799690330282,1.0131976935961524,0.7768165319272264,0.9344642057982632,6.588511868067389,39.268307,0.119125,1.7868750000000002,23.345196,2383.488445179,True,
30323,0.0237561674828806,0.4747730336246565,0.1179175350141649,0.6553736134214452,0.9206375608989052,0.2482910694963469,7.227219870429277,26.846199,0.077544,1.1631660000000004,27.468492,1917.303958658,True,
30324,0.0283163343123198,0.5072438862726503,0.125129365061294,0.6078059315635327,1.1630228618809468,0.7706954025150898,-0.08731452487973,27.416945,0.064447,0.9666989999999998,28.550352,2035.184920436,True,
30325,0.0123688259248492,0.2911210705803463,0.1095294797575553,1.453902222054753,0.7740300940711183,0.3638328525495572,4.491102754520284,39.834759,0.094226,1.4133880000000012,17.178906,1779.22564281,True,
30326,0.0460837787890534,0.2416399222297607,0.1413095197138105,1.08905514719025,1.0293000837308877,0.3164882252575466,-4.143266647187641,39.686636,0.109103,1.636545,22.337471,2304.89760279,True,
30327,0.0186264497548501,0.2459863352135795,0.1289053697551691,0.5943142540076909,1.1529399122599546,0.5034923103022623,8.63290751343056,25.312504,0.069741,1.0461149999999995,31.834629,2095.116842199,True,
30328,0.0242028303815862,0.4625686553543935,0.1373803654054305,1.0789205032698592,0.7058024521897488,0.1450036319341867,0.7957487196806294,41.068082,0.119177,1.7876519999999996,20.899994,2231.638896816,True,
30329,0.0296293164239851,0.5545910041669262,0.1388105973629391,1.1768128391078263,0.6462454361378943,0.4770743543747297,9.007818733259036,38.489845,0.131998,1.9799769999999999,22.542733,2255.932384626,True,
30330,0.0350262511860008,0.4427507414076163,0.0906342338463892,1.0030621322246558,1.1188304527890232,0.3582137260953443,6.732762010443913,26.715941,0.066011,0.9901610000000005,21.256605,1476.514499241,True,
30331,0.0024184337987428,0.4468534046748172,0.1022360376484457,1.248670425600071,0.968800254647786,0.2354387224468952,9.967964282262637,33.847408,0.097914,1.4687070000000002,18.878465,1661.366470413,True,
30332,0.0360421703964252,0.4289630141488402,0.1312394914117381,0.5770389827370443,1.0378461088297182,0.4271636120430774,3.352295456419484,25.892478,0.067787,1.0168,31.736999,2136.548856836,True,
30333,0.0479837718613814,0.383931095103384,0.13803716207816,0.7875969405342391,0.8928620199698678,0.3617492543996816,-6.414255843689959,36.837445,0.119549,1.793227,23.51214,2251.930636574,True,
30334,0.004531274225625,0.3235108043382496,0.0845054032723441,0.7765427338575117,0.5425358015389912,0.5106015194251032,-6.166397038465243,30.968543,0.098152,1.4722819999999999,17.069071,1374.371124565,True,
30335,0.020785235438122,0.5171400644235169,0.1166307659069791,0.5201283030021377,0.581749747028469,0.3430711409207936,6.790225865311591,28.825688,0.101443,1.521642,25.296947,1895.924955997,True,
30336,0.0496356486537951,0.2854475615764004,0.1146559049344173,1.0360309174297937,1.060013988969104,0.4337402127514113,6.828615760845654,28.829601,0.072769,1.0915360000000005,24.980655,1872.474006742,True,
30337,0.0084304361096782,0.5255115858673347,0.0835541333251093,0.6675216307191254,0.5419988693993213,0.300921627776559,-0.70735136969199,29.098763,0.076121,1.1418119999999998,17.962314,1358.970927274,True,
30338,0.0205177010902673,0.2874528953756758,0.111134700092585,1.2379505825213764,0.6435142754460392,0.3552085495908697,4.650264639742158,37.49091,0.101647,1.5246969999999997,18.53066,1806.301465986,True,
